"System Throughput(Wavelength), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 4:50:00 PM",
,
,
,
Wavelength,System Throughput
2364.16,0.00520408
2384.31,0.00642857
2403.02,0.00857143
2423.17,0.0148469
2433.25,0.0191327
2443.32,0.0235714
2454.84,0.0277041
2463.48,0.0321429
2473.55,0.0385714
2483.63,0.0469898
2493.7,0.0577041
2503.78,0.0664286
2513.85,0.0737755
2525.37,0.0802041
2535.44,0.0846429
2545.52,0.0889286
2554.16,0.0942857
2565.67,0.0975
2584.38,0.0996429
2595.9,0.0993367
2616.05,0.0975
2626.12,0.0952041
2634.76,0.0930612
2646.28,0.0898469
2664.99,0.0844898
2686.58,0.0812755
2716.8,0.0769898
2735.52,0.0736225
2777.26,0.0685714
2795.97,0.0653571
2807.48,0.0632143
2837.71,0.0587755
2856.42,0.057551
2888.09,0.0567857
2906.8,0.0544898
2978.77,0.0459184
2997.48,0.0416327
3017.63,0.0375
3029.15,0.0333673
3037.78,0.0287755
3047.86,0.0223469
3068.01,0.0105612
3079.52,0.00627551
